batch_id,timestamp,model_id,model_name,sample_count,ground_truth_count,detection_count,matched_count,false_positive_count,missed_count,precision,recall,mean_iou,avg_preprocess_ms,avg_inference_ms,avg_postprocess_ms,avg_total_ms,total_elapsed_ms,device,phone,model_short
7d024180-d4e7-4f51-a0d6-574b58a4c8c5,2026-05-26T14:55:09.351459Z,01_yolo26n_base,YOLO26n base,100,107,109,103,6,4,0.944954,0.962617,0.964628,6.712062,66.172091,0.293099,75.587442,8232.680622,Xiaomi 23127PN0CC,23127PN0CC,Base
c0abc341-0938-40dc-9c44-f9e1c431d778,2026-05-26T14:55:18.516593Z,01_yolo26n_base,YOLO26n base,100,108,110,108,2,0,0.981818,1.0,0.967968,6.337096,66.420038,0.138144,75.217596,8022.470726,Xiaomi 23127PN0CC,23127PN0CC,Base
50678049-36af-45a4-a471-a6ad8a995af9,2026-05-26T14:55:29.019960Z,02_yolo26n_edgelite,YOLO26n EdgeLite,100,112,114,108,6,4,0.947368,0.964286,0.946672,6.465778,59.544502,0.12472,68.502753,7487.903799,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite
f52b9678-8078-4b7d-af43-c24a75b3e0a9,2026-05-26T14:55:37.216552Z,02_yolo26n_edgelite,YOLO26n EdgeLite,100,104,114,102,12,2,0.894737,0.980769,0.948121,6.537951,59.527293,0.126106,68.578384,7371.676664,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite
7b2ba919-b96f-474b-8235-859f701d5969,2026-05-26T14:55:47.062912Z,03_yolo26n_edgelite_simam,YOLO26n EdgeLite + SimAM,100,108,121,105,16,3,0.867769,0.972222,0.952447,6.366621,59.743348,0.124717,68.560503,7462.592601,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite+SimAM
05c1884d-5f49-4e0c-a826-e692b3b3ae8b,2026-05-26T14:55:55.652821Z,03_yolo26n_edgelite_simam,YOLO26n EdgeLite + SimAM,100,106,121,104,17,2,0.859504,0.981132,0.946757,6.410624,59.719656,0.124342,68.596921,7370.399685,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite+SimAM
aa3888bd-2d2f-4aa2-9dbb-12fc68c8bc79,2026-05-26T14:56:05.784212Z,04_yolo26n_edgelite_wiou_progloss,YOLO26n EdgeLite + WIoU/ProgLoss,100,113,115,111,4,2,0.965217,0.982301,0.956206,6.350101,59.882742,0.121487,68.662815,7480.051351,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite+WIoU/ProgLoss
2d519d16-339e-4d56-8218-aa9ae6aef69d,2026-05-26T14:56:14.651276Z,04_yolo26n_edgelite_wiou_progloss,YOLO26n EdgeLite + WIoU/ProgLoss,100,103,104,102,2,1,0.980769,0.990291,0.959904,6.328599,59.688916,0.117351,68.41691,7338.47307,Xiaomi 23127PN0CC,23127PN0CC,EdgeLite+WIoU/ProgLoss
749c1322-56c2-475f-b72e-44c3f9093524,2026-05-26T14:49:32.855768Z,01_yolo26n_base,YOLO26n base,100,111,114,106,8,5,0.929825,0.954955,0.966552,5.624955,87.744257,0.329637,140.075262,14673.408617,Xiaomi M2012K10C,M2012K10C,Base
2abe9d80-c10f-4794-b5fb-0e2e1fb12027,2026-05-26T14:49:49.446240Z,01_yolo26n_base,YOLO26n base,100,109,115,105,10,4,0.913043,0.963303,0.967479,6.618712,92.209623,0.346768,148.439093,15400.881309,Xiaomi M2012K10C,M2012K10C,Base
ffc63a13-34d2-4ea3-a1fc-c44a9139acf9,2026-05-26T14:50:08.369316Z,02_yolo26n_edgelite,YOLO26n EdgeLite,100,108,114,105,9,3,0.921053,0.972222,0.947765,6.154337,88.71586,0.296455,144.383966,15090.955463,Xiaomi M2012K10C,M2012K10C,EdgeLite
a9fc6876-610b-4bfd-9ca1-c79e07af7f28,2026-05-26T14:50:24.873031Z,02_yolo26n_edgelite,YOLO26n EdgeLite,100,106,112,105,7,1,0.9375,0.990566,0.948261,6.489436,90.730499,0.302713,148.387598,15387.351385,Xiaomi M2012K10C,M2012K10C,EdgeLite
8ae0efc8-a8ca-49a9-a0bf-c77a275b7767,2026-05-26T14:50:43.668246Z,03_yolo26n_edgelite_simam,YOLO26n EdgeLite + SimAM,100,109,114,108,6,1,0.947368,0.990826,0.949241,6.220775,92.297689,0.288614,149.644628,15613.639463,Xiaomi M2012K10C,M2012K10C,EdgeLite+SimAM
a3c331cb-45ea-4511-9d6c-cd66cc8807b1,2026-05-26T14:51:01.662745Z,03_yolo26n_edgelite_simam,YOLO26n EdgeLite + SimAM,100,106,114,105,9,1,0.921053,0.990566,0.947115,6.438333,92.378296,0.251441,152.754587,15808.84177,Xiaomi M2012K10C,M2012K10C,EdgeLite+SimAM
838dbe8f-70d1-438c-86d4-a389c16ea6b3,2026-05-26T14:51:23.723797Z,04_yolo26n_edgelite_wiou_progloss,YOLO26n EdgeLite + WIoU/ProgLoss,100,107,111,105,6,2,0.945946,0.981308,0.955057,6.636284,93.318598,0.263673,154.387272,16140.606385,Xiaomi M2012K10C,M2012K10C,EdgeLite+WIoU/ProgLoss
1002e9b1-664b-4f4f-bdc8-5d3f4f821b85,2026-05-26T14:51:44.276702Z,04_yolo26n_edgelite_wiou_progloss,YOLO26n EdgeLite + WIoU/ProgLoss,100,105,110,104,6,1,0.945455,0.990476,0.959821,6.422799,94.741627,0.264995,156.485792,16156.696385,Xiaomi M2012K10C,M2012K10C,EdgeLite+WIoU/ProgLoss
