epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0075,4.37511,13.5381,0.10973,0,0,0,0,6.24895,61.0889,0.25429,0.0002,0.0002,0.0002
2,54.7846,3.94441,10.7199,0.09825,0,0.00084,0,0,6.2706,62.7062,0.25519,0.000408647,0.000408647,0.000408647
3,65.3944,3.00187,7.623,0.07562,0,0.00172,0,0,6.32283,25.2705,0.25695,0.000615908,0.000615908,0.000615908
4,76.0393,2.29881,5.57566,0.05721,0.00215,0.48241,0.005,0.00098,2.90487,6.78032,0.1116,0.000821783,0.000821783,0.000821783
5,86.6199,1.99314,4.18152,0.04763,0.00192,0.51636,0.00254,0.00062,2.36968,5.84073,0.08601,0.0009868,0.0009868,0.0009868
6,97.1807,1.84262,3.18168,0.04262,0.17907,0.17245,0.13382,0.02985,1.89092,4.50651,0.06986,0.0009835,0.0009835,0.0009835
7,107.679,1.73567,2.5443,0.03965,0.21736,0.32679,0.18701,0.06901,2.2405,3.48799,0.08921,0.0009802,0.0009802,0.0009802
8,119.97,1.56957,2.18472,0.03506,0.23802,0.389,0.22274,0.08138,2.12131,2.56873,0.08055,0.0009769,0.0009769,0.0009769
9,136.234,1.51334,1.99259,0.03369,0.25282,0.42679,0.2134,0.11074,1.63887,2.76343,0.06012,0.0009736,0.0009736,0.0009736
10,150.365,1.4502,1.81354,0.03184,0.24262,0.39754,0.20773,0.14575,1.35246,2.7286,0.04504,0.0009703,0.0009703,0.0009703
11,160.961,1.41551,1.72495,0.03082,0.32403,0.52633,0.33796,0.20171,1.50286,1.88341,0.05073,0.000967,0.000967,0.000967
12,171.647,1.40292,1.63716,0.03111,0.39942,0.63466,0.44824,0.31056,1.25373,1.43619,0.03986,0.0009637,0.0009637,0.0009637
13,182.182,1.33342,1.55009,0.02897,0.37194,0.51557,0.38544,0.22897,1.4497,1.5961,0.05072,0.0009604,0.0009604,0.0009604
14,192.792,1.28445,1.48946,0.0278,0.48855,0.61261,0.52959,0.35964,1.1727,1.24717,0.03785,0.0009571,0.0009571,0.0009571
